pl_hostname,ra,dec
HD 208527,329.099945,21.239859
HD 3651,9.840858,21.250473
WASP-14,218.276477,21.894714
HD 108863,187.582962,21.948244
LkCa 15,69.824148,22.350967
LkCa 15,69.824148,22.350967
HD 189733,300.182129,22.710854
HD 108874,187.612015,22.879829
HD 108874,187.612015,22.879829
2MASS J04414489+2301513,70.437073,23.030941
WASP-56,183.366285,23.055698
HD 79498,138.789169,23.375549
alf Ari,31.793364,23.462423
HD 14067,34.293499,23.767832
KELT-8,283.305510,24.127380
HD 50554,103.678436,24.245558
HAT-P-20,111.916469,24.336630
K2-29,62.670647,24.402043
K2-26,94.206580,24.596410
30 Ari B,39.240585,24.648064
HD 116029,200.164764,24.648699
WASP-59,349.623126,24.889290
FU Tau,65.898908,25.049898
HAT-P-25,48.435419,25.197405
HD 12661,31.142866,25.414305
HD 12661,31.142866,25.414305
HAT-P-54,99.898000,25.482540
KELT-4 A,157.062546,25.573189
HD 97658,168.638184,25.710384
HAT-P-55,264.273447,25.731186
GJ 649,254.536880,25.744160
HD 177830,286.336548,25.920660
HD 177830,286.336548,25.920660
mu Leo,148.190903,26.006952
HD 203030,319.742584,26.230545
HD 164922,270.628601,26.313002
HD 32963,76.982353,26.327963
V0391 Peg,331.050440,26.418860
HAT-P-31,271.537705,26.426662
DH Tau,67.423158,26.549520
HAT-P-49,305.441397,26.692652
GJ 436,175.546219,26.706570
HD 145457,242.516312,26.742750
eps CrB,239.396881,26.877880
HAT-P-56,100.848038,27.252293
HD 158038,261.439301,27.303341
HD 62509,116.328957,28.026199
HD 188015,298.018921,28.100376
XO-1,240.549350,28.169586
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
55 Cnc,133.149216,28.330818
HD 185269,294.298920,28.499865
HD 8574,21.302153,28.566692
HAT-P-52,42.721679,29.022396
HIP 109600,333.026062,29.065811
HD 156668,259.418701,29.227226
HD 9446,23.334101,29.265148
HD 9446,23.334101,29.265148
HD 164595,270.162048,29.571922
omi CrB,230.035660,29.616209
WASP-12,97.636640,29.672291
WASP-135,267.284974,29.879107
HD 190360,300.905853,29.896805
HD 190360,300.905853,29.896805
tau Gem,107.784882,30.245163
HAT-P-17,324.536396,30.488716
HAT-P-17,324.536396,30.488716
KELT-6,195.981868,30.640051
KELT-6,195.981868,30.640051
WASP-11,47.368964,30.673594
KELT-2 A,92.663948,30.957144
HIP 57274,176.170685,30.959293
HIP 57274,176.170685,30.959293
HIP 57274,176.170685,30.959293
HD 1605,5.131330,30.974804
HD 1605,5.131330,30.974804
WASP-60,356.666564,31.155935
WASP-10,348.992912,31.462852
HD 67087,121.915649,31.551319
HD 67087,121.915649,31.551319
HD 22781,55.206356,31.826290
HD 180314,288.709198,31.860350
WASP-1,5.166978,31.989990
HAT-P-38,35.383234,32.246151
HD 13189,32.417381,32.316437
HAT-P-51,21.065190,32.810764
HAT-P-18,256.346473,33.012512
HD 75898,133.461685,33.056812
KELT-7,78.295532,33.318165
HD 155358,257.394226,33.355854
HD 155358,257.394226,33.355854
HAT-P-33,113.184212,33.835052
WASP-13,140.102976,33.882439
HD 5608,14.559246,33.950886
HD 87883,152.179749,34.242260
HD 187123,296.742126,34.419525
HD 187123,296.742126,34.419525
HD 8673,21.536604,34.579700
HD 178911 B,287.262939,34.599850
HAT-P-19,9.516742,34.711575
HAT-P-28,13.000766,34.728413
HD 82886,143.938263,34.780743
HD 5583,14.486255,34.985561
HAT-P-8,343.041067,35.447109
kap CrB,237.808044,35.657383
WASP-3,278.631793,35.661533
HAT-P-4,229.991354,36.229664
WTS-1,293.993200,36.290325
HD 173416,280.900452,36.556606
Kepler-75,291.137593,36.577386
HAT-P-5,274.405476,36.621410
TrES-1,286.041062,36.632629
WTS-2,293.732796,36.815491
HAT-P-9,110.168529,37.140652
TrES-4,268.304354,37.211849
Kepler-262,290.728675,37.252649
Kepler-262,290.728675,37.252649
Kepler-264,292.044615,37.376246
Kepler-264,292.044615,37.376246
