pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-321,13.093921,0.11,,,,1.01,2014-05-14,
Kepler-321,4.915379,0.057,,,,1.01,2014-05-14,
Kepler-1010,34.2685705,,,,610.,0.86,2016-05-10,
Kepler-942,44.96417488,,,,218.,0.81,2016-05-10,
Kepler-1285,14.7967458,,,,364.,1.2,2016-05-10,
Kepler-1341,132.9968322,,,,466.,0.79,2016-05-10,
Kepler-1118,38.6715075,,,,818.,0.96,2016-05-10,
Kepler-266,6.61833,0.071,,,,0.99,2014-05-14,
Kepler-266,107.723601,0.457,,,,0.99,2014-05-14,
Kepler-720,4.70832654,,,,880.,0.95,2016-05-10,
Kepler-1203,0.58800076,,,,269.,0.64,2016-05-10,
Kepler-760,2.46697439,,,,782.,0.89,2016-05-10,
Kepler-760,8.70419416,,,,782.,0.89,2016-05-10,
Kepler-316,2.240508,0.027,,,,0.53,2014-05-14,
Kepler-316,6.827766,0.058,,,,0.53,2014-05-14,
Kepler-126,10.495711,0.099,,,,,2014-05-14,
Kepler-126,100.283134,0.448,,,,,2014-05-14,
Kepler-126,21.869741,0.162,,,,,2014-05-14,
Kepler-778,3.75574426,,,,899.,0.81,2016-05-10,
Kepler-1136,2.36172433,,,,545.,0.72,2016-05-10,
HD 40979,264.15,0.846,0.252,4.01,33.3,1.15,2014-05-14,
Kepler-1539,133.3036741,,,,788.,0.84,2016-05-10,
Kepler-452,384.843,1.046,,,,1.04,2015-07-23,
Kepler-271,5.217738,0.056,,,,,2014-05-14,
Kepler-271,5.24972541,,,,,,2016-05-10,
Kepler-271,7.410935,0.071,,,,,2014-05-14,
Kepler-780,0.67737516,,,,520.,1.01,2016-05-10,
Kepler-322,4.337234,0.051,,,,0.91,2014-05-14,
Kepler-322,1.653888,0.027,,,,0.91,2014-05-14,
HD 96127,647.3,1.4,0.3,4.,221.24,0.91,2015-05-14,1.85
Kepler-189,20.134866,0.137,,,,0.79,2014-05-14,
Kepler-189,10.399931,0.088,,,,0.79,2014-05-14,
Kepler-779,7.09714223,,,,224.,0.46,2016-05-10,
Kepler-188,5.996553,0.066,,,,,2014-05-14,
Kepler-188,2.061897,0.032,,,,,2014-05-14,
Kepler-1119,8.3265153,,,,1288.,1.11,2016-05-10,
kap And,,55.,,13.616,52.03,2.6,2014-05-14,19.22
Kepler-106,43.8445,,,0.035,,1.,2014-05-14,
Kepler-106,23.9802,,,0.025,,1.,2014-05-14,
Kepler-106,6.16486,,,0.0005,,1.,2014-05-14,
Kepler-106,13.5708,,,0.033,,1.,2014-05-14,
Kepler-547,6.01038429,,,,361.,0.78,2016-05-10,
Kepler-77,3.57878087,0.04501,0.,0.43,570.,0.95,2014-05-14,
Kepler-777,5.72812599,,,,383.,0.58,2016-05-10,
Kepler-1249,24.3347127,,,,1674.,1.19,2016-05-10,
Kepler-606,24.31575992,,,,1208.,1.13,2016-05-10,
Kepler-79,13.4845,0.117,0.015,0.0343,,1.17,2016-03-10,
Kepler-79,81.0659,0.386,0.012,0.013,,1.17,2016-03-10,
Kepler-79,52.0902,0.287,0.025,0.019,,1.17,2016-03-10,
Kepler-79,27.4029,0.187,0.03,0.019,,1.17,2016-03-10,
Kepler-646,15.87364565,,,,513.,0.93,2016-05-10,
Kepler-993,22.08557563,,,,298.,0.57,2016-05-10,
Kepler-95,11.5231,,,0.041,,1.08,2014-05-14,
Kepler-436,64.00205,0.339,0.19,,618.,0.73,2015-01-06,
Kepler-436,16.79713874,,,,618.,0.73,2016-05-10,
Kepler-1604,0.68368426,,,,562.,0.81,2016-05-10,
Kepler-1328,4.52158888,,,,630.,1.,2016-05-10,
Kepler-1619,23.6225913,,,,520.,1.,2016-05-10,
Kepler-270,11.476094,0.107,,,,,2014-05-14,
Kepler-270,25.262887,0.18,,,,,2014-05-14,
Kepler-1013,18.93054959,,,,433.,0.81,2016-05-10,
Kepler-78,0.355,,0.,0.006,,0.76,2014-05-14,
Kepler-1593,174.509835,,,,755.,0.81,2016-05-10,
Kepler-1489,82.294751,,,,870.,0.93,2016-05-10,
Kepler-1512,20.35972599,,,,162.,0.73,2016-05-10,
HD 216536,148.6,0.609,0.38,1.47,,1.36,2015-02-05,
Kepler-721,5.39202539,,,,848.,0.82,2016-05-10,
Kepler-1294,115.6862258,,,,1120.,0.99,2016-05-10,
Kepler-37,51.196,,,,66.,0.8,2014-05-28,
Kepler-37,39.792187,0.2076,,,66.,0.8,2014-05-14,
Kepler-37,21.301886,0.1368,,,66.,0.8,2014-05-14,
Kepler-37,13.367308,0.1003,,,66.,0.8,2014-05-14,
Kepler-498,9.61375356,,,,746.,0.98,2016-05-10,
Kepler-1516,7.25931979,,,,872.,1.04,2016-05-10,
Kepler-1090,198.680179,,,,702.,0.86,2016-05-10,
Kepler-145,42.882,,,0.25,,1.32,2014-05-14,
Kepler-145,22.951,,,0.117,,1.32,2014-05-14,
Kepler-1218,22.9221266,,,,667.,1.06,2016-05-10,
Kepler-252,6.668391,0.058,,,,0.52,2014-05-14,
Kepler-252,10.848463,0.08,,,,0.52,2014-05-14,
Kepler-1223,16.301259,,,,455.,0.8,2016-05-10,
Kepler-1208,11.08507637,,,,877.,0.8,2016-05-10,
Kepler-1054,4.30655689,,,,1050.,1.22,2016-05-10,
Kepler-722,105.144749,,,,1375.,1.03,2016-05-10,
Kepler-722,4.09357325,,,,1375.,1.03,2016-05-10,
Kepler-1585,3.5827463,,,,1269.,0.94,2016-05-10,
Kepler-647,16.2254649,,,,789.,1.03,2016-05-10,
Kepler-1591,8.18504949,,,,1090.,1.1,2016-05-10,
Kepler-388,13.297004,0.093,,,,0.59,2014-05-14,
Kepler-388,3.173315,0.036,,,,0.59,2014-05-14,
Kepler-1033,7.56052806,,,,1425.,0.94,2016-05-10,
Kepler-1466,31.1750448,,,,686.,1.01,2016-05-10,
Kepler-349,12.247629,0.105,,,,0.97,2014-05-14,
Kepler-349,5.929778,0.065,,,,0.97,2014-05-14,
Kepler-42,0.45328509,0.006,,,38.7,0.13,2014-05-14,
Kepler-42,1.865169,0.0154,,,38.7,0.13,2014-05-14,
Kepler-42,1.2137672,0.0116,,,38.7,0.13,2014-05-14,
Kepler-953,9.10967112,,,,240.,0.95,2016-05-10,
Kepler-953,88.40655258,,,,240.,0.95,2016-05-10,
Kepler-607,0.6381632,,,,500.,0.84,2016-05-10,
Kepler-608,6.41251504,,,,926.,1.,2016-05-10,
Kepler-34,288.822,1.0896,0.182,0.22,1499.,1.05,2014-05-14,
Kepler-213,2.46236,0.036,,,,0.94,2014-05-14,
Kepler-213,4.822962,0.057,,,,0.94,2014-05-14,
Kepler-1202,28.6851324,,,,1393.,1.03,2016-05-10,
Kepler-57,11.6092567,,,6.95,,0.83,2014-05-14,
Kepler-57,5.7293196,,,18.86,,0.83,2014-05-14,
Kepler-723,4.08227507,,,,965.,0.92,2016-05-10,
Kepler-801,11.41928253,,,,419.,0.67,2016-05-10,
Kepler-1256,12.4127754,,,,862.,1.17,2016-05-10,
Kepler-111,224.784608,0.761,,,,,2014-05-14,
Kepler-111,3.341815,0.046,,,,,2014-05-14,
Kepler-1237,84.5733226,,,,1121.,0.94,2016-05-10,
Kepler-803,50.28638192,,,,615.,1.05,2016-05-10,
KIC 8540376,31.8099,,,,,1.04,2016-01-05,
KIC 8540376,75.2,,,,,1.04,2016-01-05,
Kepler-609,6.52121067,,,,1143.,1.09,2016-05-10,
Kepler-1165,9.478522,,,,1081.,1.13,2016-05-10,
Kepler-1533,308.5471,,,,852.,1.31,2016-05-10,
Kepler-190,2.019999,0.03,,,,0.84,2014-05-14,
Kepler-190,3.763024,0.045,,,,0.84,2014-05-14,
Kepler-1485,19.9157725,,,,550.,1.11,2016-05-10,
Kepler-18,3.504725,0.0447,0.,0.022,,0.97,2014-05-14,
Kepler-18,14.85888,0.1172,0.,0.052,,0.97,2014-05-14,
Kepler-18,7.64159,0.0752,0.,0.054,,0.97,2014-05-14,
Kepler-1643,5.34264507,,,,414.,0.92,2016-05-10,
Kepler-1475,82.177374,,,,1714.,1.18,2016-05-10,
Kepler-1135,76.957857,,,,728.,0.96,2016-05-10,
Kepler-1389,99.2530951,,,,521.,0.81,2016-05-10,
Kepler-281,36.337373,0.215,,,,0.98,2014-05-14,
Kepler-281,14.646008,0.117,,,,0.98,2014-05-14,
Kepler-360,3.289672,0.044,,,,0.95,2014-05-14,
Kepler-360,7.186434,0.075,,,,0.95,2014-05-14,
Kepler-384,22.597053,0.148,,,,0.76,2014-05-14,
Kepler-384,45.348269,0.236,,,,0.76,2014-05-14,
Kepler-804,9.65185017,,,,648.,1.01,2016-05-10,
Kepler-804,14.37457351,,,,648.,1.01,2016-05-10,
Kepler-724,3.31494634,,,,862.,0.9,2016-05-10,
Kepler-800,14.13176026,,,,1049.,0.85,2016-05-10,
Kepler-282,44.347,,,0.177,,0.97,2014-05-14,
Kepler-282,13.638723,0.106,,,,0.97,2014-05-14,
Kepler-282,9.220524,0.082,,,,0.97,2014-05-14,
Kepler-282,24.806,,,0.192,,0.97,2014-05-14,
Kepler-330,15.955387,0.116,,,,0.78,2014-05-14,
Kepler-330,8.25978,0.075,,,,0.78,2014-05-14,
Kepler-725,39.64317811,,,,778.,0.88,2016-05-10,
Kepler-1198,7.6847716,,,,777.,0.93,2016-05-10,
Kepler-1372,1.31155557,,,,1161.,0.98,2016-05-10,
Kepler-806,8.09219642,,,,260.,0.99,2016-05-10,
Kepler-463,8.98101683,,,,336.,0.87,2016-05-10,
Kepler-253,10.281951,0.089,,,,,2014-05-14,
Kepler-253,3.783986,0.046,,,,,2014-05-14,
Kepler-253,18.119869,0.13,,,,,2014-05-14,
Kepler-69,242.4613,0.64,0.14,,,0.81,2014-05-14,
Kepler-69,13.722341,0.094,0.16,,,0.81,2014-05-14,
Kepler-1273,28.625653,,,,1355.,0.94,2016-05-10,
Kepler-540,172.7049784,,,,350.,1.02,2016-05-10,
Kepler-1003,3.55485691,,,,873.,1.11,2016-05-10,
Kepler-799,133.4605235,,,,1029.,0.95,2016-05-10,
Kepler-726,21.80451088,,,,838.,0.88,2016-05-10,
Kepler-914,4.40966548,,,,678.,1.1,2016-05-10,
Kepler-389,14.51143,0.11,,,,0.78,2014-05-14,
Kepler-389,3.244107,0.041,,,,0.78,2014-05-14,
HAT-P-36,1.327347,0.0238,0.063,1.832,317.,1.02,2014-05-14,
Kepler-1498,48.051405,,,,740.,0.86,2016-05-10,
Kepler-1396,18.2206421,,,,1236.,1.18,2016-05-10,
Kepler-446,3.036179,,0.,,120.,0.22,2015-01-14,
Kepler-446,1.565409,,0.,,120.,0.22,2015-01-14,
Kepler-446,5.148921,,0.,,120.,0.22,2015-01-14,
Kepler-1435,4.45343281,,,,681.,1.21,2016-05-10,
Kepler-1633,186.404271,,,,811.,1.2,2016-05-10,
Kepler-1586,15.6049212,,,,864.,1.45,2016-05-10,
Kepler-420,86.647661,0.382,0.772,1.45,900.,0.99,2014-06-25,
Kepler-1275,3.65691115,,,,1280.,1.23,2016-05-10,
Kepler-1055,2.29503623,,,,422.,0.98,2016-05-10,
Kepler-1008,12.43931193,,,,299.,0.81,2016-05-10,
Kepler-214,28.7798,0.194,,,,,2014-05-14,
Kepler-214,15.660544,0.13,,,,,2014-05-14,
Kepler-406,4.62332,,,0.009,,1.07,2014-05-14,
Kepler-406,2.42629,,,0.02,,1.07,2014-05-14,
Kepler-1518,5.11177904,,,,1140.,1.54,2016-05-10,
Kepler-802,40.0587473,,,,828.,0.93,2016-05-10,
Kepler-983,60.0855082,,,,655.,1.13,2016-05-10,
Kepler-648,17.4211749,,,,665.,1.05,2016-05-10,
Kepler-560,18.47764449,,,,88.,0.34,2016-05-10,
Kepler-727,5.15448442,,,,892.,0.89,2016-05-10,
Kepler-963,9.97683705,,,,786.,0.91,2016-05-10,
Kepler-1067,0.76212926,,,,689.,0.95,2016-05-10,
Kepler-177,49.412,,,0.024,,1.07,2014-05-14,
Kepler-177,36.855,,,0.006,,1.07,2014-05-14,
Kepler-805,30.8638931,,,,657.,1.19,2016-05-10,
Kepler-980,11.55102504,,,,804.,1.05,2016-05-10,
Kepler-610,6.99692655,,,,1113.,1.1,2016-05-10,
Kepler-610,151.86392,,,,1113.,1.1,2016-05-10,
Kepler-1045,26.41045478,,,,971.,0.86,2016-05-10,
Kepler-649,29.90722674,,,,525.,0.97,2016-05-10,
Kepler-1450,54.5094166,,,,490.,0.71,2016-05-10,
Kepler-1394,3.93766373,,,,820.,1.64,2016-05-10,
Kepler-421,704.1984,1.219,0.041,,320.,0.79,2014-07-23,
Kepler-561,58.3620495,,,,667.,0.96,2016-05-10,
Kepler-561,5.35016198,,,,667.,0.96,2016-05-10,
Kepler-1427,0.96897238,,,,1220.,1.01,2016-05-10,
Kepler-728,5.74347727,,,,1236.,0.95,2016-05-10,
Kepler-395,7.054346,0.061,,,,0.53,2014-05-14,
Kepler-395,34.989262,0.177,,,,0.53,2014-05-14,
Kepler-1634,374.876239,,,,654.,0.92,2016-05-10,
Kepler-410 A,17.833648,0.1226,0.17,,132.,1.21,2014-05-14,
Kepler-1149,3.73089898,,,,1023.,1.02,2016-05-10,
Kepler-650,3.03214559,,,,805.,1.08,2016-05-10,
WASP-58,5.01718,0.0561,0.,0.89,300.,0.94,2014-05-14,
Kepler-1374,10.65276707,,,,1135.,0.85,2016-05-10,
Kepler-1346,3.40165668,,,,1123.,1.14,2016-05-10,
Kepler-834,13.32388301,,,,620.,0.7,2016-05-10,
Kepler-393,9.182417,0.091,,,,1.32,2014-05-14,
Kepler-393,14.613612,0.124,,,,1.32,2014-05-14,
Kepler-1314,5.42474928,,,,462.,0.6,2016-05-10,
Kepler-1083,33.4177993,,,,912.,0.81,2016-05-10,
Kepler-1159,22.70816791,,,,1238.,1.19,2016-05-10,
Kepler-1264,0.96852602,,,,814.,0.99,2016-05-10,
Kepler-215,9.360672,0.084,,,,0.77,2014-05-14,
Kepler-215,30.864423,0.185,,,,0.77,2014-05-14,
Kepler-215,68.16101,0.314,,,,0.77,2014-05-14,
Kepler-215,14.667108,0.113,,,,0.77,2014-05-14,
Kepler-329,18.684737,0.113,,,,0.53,2014-05-14,
Kepler-329,7.416397,0.061,,,,0.53,2014-05-14,
Kepler-839,37.8144514,,,,833.,1.22,2016-05-10,
Kepler-1071,6.1799844,,,,964.,0.86,2016-05-10,
Kepler-115,8.990889,0.087,,,,1.,2014-05-14,
Kepler-115,2.403679,0.036,,,,1.,2014-05-14,
Kepler-1176,24.1738579,,,,1023.,1.01,2016-05-10,
Kepler-1538,175.138819,,,,1291.,1.03,2016-05-10,
Kepler-85,8.306,,,,,0.92,2014-05-14,
Kepler-85,17.91323,0.13,,,,0.92,2014-05-14,
Kepler-85,25.216751,0.163,,,,0.92,2014-05-14,
Kepler-85,12.513,,,,,0.92,2014-05-14,
Kepler-1616,6.76284377,,,,862.,1.21,2016-05-10,
Kepler-1039,0.93488424,,,,324.,0.79,2016-05-10,
Kepler-191,9.939632,0.087,,,,0.85,2014-05-14,
Kepler-191,17.738506,0.128,,,,0.85,2014-05-14,
Kepler-191,5.94504102,,,,,0.85,2016-05-10,
Kepler-1269,37.3331536,,,,710.,1.1,2016-05-10,
Kepler-1467,47.0569043,,,,890.,0.86,2016-05-10,
Kepler-404,14.751166,0.118,,,,,2014-05-14,
Kepler-404,11.829851,0.102,,,,,2014-05-14,
Kepler-62,12.4417,0.0929,,0.013,368.,0.69,2014-05-14,
Kepler-62,5.714932,0.0553,,0.03,368.,0.69,2014-05-14,
Kepler-62,18.16406,0.12,,0.044,368.,0.69,2014-05-14,
Kepler-62,122.3874,0.427,,0.113,368.,0.69,2014-05-14,
Kepler-62,267.291,0.718,,0.11,368.,0.69,2014-05-14,
Kepler-1496,64.6588017,,,,1293.,1.18,2016-05-10,
Kepler-295,21.526258,0.142,,,,,2014-05-14,
Kepler-295,33.884054,0.192,,,,,2014-05-14,
Kepler-295,12.645164,0.099,,,,,2014-05-14,
Kepler-909,13.93290318,,,,318.,1.17,2016-05-10,
Kepler-832,7.1396941,,,,1346.,0.92,2016-05-10,
Kepler-1130,5.45298175,,,,234.,0.9,2016-05-10,
Kepler-1280,66.5579057,,,,1006.,1.2,2016-05-10,
Kepler-368,26.84768,0.186,,,,0.71,2014-05-14,
Kepler-368,72.379334,0.36,,,,0.71,2014-05-14,
Kepler-1610,8.70181574,,,,1063.,0.91,2016-05-10,
Kepler-1018,49.1013514,,,,894.,0.91,2016-05-10,
Kepler-729,3.16635371,,,,1271.,0.94,2016-05-10,
Kepler-1408,2.99793191,,,,426.,1.21,2016-05-10,
Kepler-335,6.562331,0.075,,,,0.99,2014-05-14,
Kepler-335,67.844469,0.356,,,,0.99,2014-05-14,
Kepler-1162,32.5637069,,,,989.,0.89,2016-05-10,
Kepler-1322,0.96286738,,,,1217.,0.9,2016-05-10,
Kepler-548,4.45419434,,,,776.,0.93,2016-05-10,
Kepler-1486,54.6495759,,,,1465.,1.08,2016-05-10,
Kepler-1161,10.71252541,,,,428.,0.59,2016-05-10,
Kepler-1400,9.06689421,,,,879.,0.83,2016-05-10,
HAT-P-40,4.457243,0.0608,0.,0.615,501.,1.51,2014-05-14,
Kepler-611,2.4370333,,,,906.,1.01,2016-05-10,
Kepler-523,5.83598311,,,,270.,0.93,2016-05-10,
Kepler-586,2.10472218,,,,707.,0.94,2016-05-10,
Kepler-1635,469.63111,,,,1084.,0.89,2016-05-10,
Kepler-731,3.85560355,,,,1311.,1.03,2016-05-10,
Kepler-730,6.49168426,,,,1455.,1.,2016-05-10,
Kepler-1295,3.81371974,,,,1257.,0.92,2016-05-10,
Kepler-192,9.926746,0.09,,,,,2014-05-14,
Kepler-192,6.47027579,,,,,,2016-05-10,
Kepler-192,21.2234,0.15,,,,,2014-05-14,
Kepler-1571,3.38555488,,,,802.,1.23,2016-05-10,
Kepler-833,18.7546998,,,,421.,0.64,2016-05-10,
HD 81688,184.02,0.81,0.,2.7,88.26,2.1,2014-05-14,11.33
Kepler-1360,40.5286413,,,,1405.,1.51,2016-05-10,
Kepler-1257,2.66831376,,,,1081.,0.9,2016-05-10,
Kepler-1497,8.74199772,,,,1122.,0.96,2016-05-10,
Kepler-1612,3.91795101,,,,837.,0.96,2016-05-10,
Kepler-387,6.791636,0.068,,,,1.03,2014-05-14,
Kepler-387,11.837549,0.098,,,,1.03,2014-05-14,
Kepler-1173,0.7698536,,,,402.,0.86,2016-05-10,
Kepler-1101,81.3151059,,,,897.,0.94,2016-05-10,
Kepler-1126,108.593329,,,,668.,0.92,2016-05-10,
Kepler-836,11.36112327,,,,1003.,1.03,2016-05-10,
Kepler-1221,12.00096042,,,,909.,0.87,2016-05-10,
Kepler-1536,364.758031,,,,401.,0.71,2016-05-10,
Kepler-1555,8.10501635,,,,1382.,1.04,2016-05-10,
Kepler-1148,1.10446351,,,,682.,0.81,2016-05-10,
Kepler-835,11.41909375,,,,2011.,1.08,2016-05-10,
Kepler-915,4.59489604,,,,806.,1.21,2016-05-10,
Kepler-1491,16.5861762,,,,1312.,1.,2016-05-10,
Kepler-612,3.72215641,,,,932.,0.98,2016-05-10,
Kepler-1575,2.55314213,,,,1170.,0.95,2016-05-10,
Kepler-44,3.2467293,0.0446,0.066,1.,2250.,1.12,2015-01-29,
Kepler-1079,13.24503188,,,,481.,1.08,2016-05-10,
Kepler-1178,31.80634,,,,336.,0.8,2016-05-10,
Kepler-1007,5.18500207,,,,365.,0.73,2016-05-10,
Kepler-1111,8.79617863,,,,1142.,1.1,2016-05-10,
Kepler-254,12.412183,0.105,,,,,2014-05-14,
Kepler-254,5.826662,0.064,,,,,2014-05-14,
Kepler-254,18.746477,0.139,,,,,2014-05-14,
Kepler-1030,19.32952416,,,,795.,0.8,2016-05-10,
Kepler-1523,0.93875077,,,,918.,0.97,2016-05-10,
Kepler-1570,26.548955,,,,463.,0.92,2016-05-10,
Kepler-1114,14.97435694,,,,427.,0.87,2016-05-10,
Kepler-1086,161.5163345,,,,464.,0.7,2016-05-10,
Kepler-1086,18.78425728,,,,464.,0.7,2016-05-10,
Kepler-31,87.6451,0.4,,6.8,2100.,1.21,2016-03-24,
Kepler-31,42.6318,0.26,,4.7,2100.,1.21,2014-05-14,
Kepler-31,20.8613,0.16,,,2100.,1.21,2014-05-14,
Kepler-1153,1.75583533,,,,1185.,0.91,2016-05-10,
Kepler-1474,36.4333452,,,,1214.,1.04,2016-05-10,
Kepler-382,12.162701,0.097,,,,0.8,2014-05-14,
Kepler-382,5.262155,0.055,,,,0.8,2014-05-14,
Kepler-1058,110.96546,,,,525.,0.73,2016-05-10,
Kepler-733,20.83424726,,,,980.,0.9,2016-05-10,
Kepler-1216,4.37034536,,,,1124.,0.99,2016-05-10,
Kepler-1618,6.10826019,,,,1238.,1.41,2016-05-10,
Kepler-837,16.56059504,,,,846.,0.85,2016-05-10,
Kepler-732,0.89304124,,,,150.,0.49,2016-05-10,
Kepler-732,9.46781405,,,,150.,0.49,2016-05-10,
Kepler-1096,2.89221751,,,,344.,0.66,2016-05-10,
Kepler-345,9.387427,0.077,,,,0.59,2014-05-14,
Kepler-345,7.415563,0.066,,,,0.59,2014-05-14,
Kepler-504,9.54927542,,,,75.,0.33,2016-05-10,
Kepler-916,32.2968798,,,,769.,0.85,2016-05-10,
Kepler-838,15.74957994,,,,1210.,0.98,2016-05-10,
Kepler-255,1.04562266,,,,,0.97,2016-05-10,
Kepler-255,5.714606,0.063,,,,0.97,2014-05-14,
Kepler-255,9.946047,0.092,,,,0.97,2014-05-14,
Kepler-1250,2.60754383,,,,1371.,0.99,2016-05-10,
Kepler-41,1.8555582,0.03101,0.,0.56,770.,1.15,2015-01-29,
Kepler-1016,1.95452434,,,,1239.,0.99,2016-05-10,
Kepler-1016,105.6551369,,,,1239.,0.99,2016-05-10,
Kepler-1108,4.51005748,,,,764.,0.88,2016-05-10,
Kepler-326,2.248329,0.032,,,,0.98,2014-05-14,
Kepler-326,4.580358,0.051,,,,0.98,2014-05-14,
Kepler-326,6.766888,0.066,,,,0.98,2014-05-14,
Kepler-33,5.66793,0.0677,0.,,,1.29,2014-05-14,
Kepler-33,13.17562,0.1189,0.,,,1.29,2014-05-14,
Kepler-33,21.77596,0.1662,0.,,,1.29,2014-05-14,
Kepler-33,31.7844,0.2138,0.,,,1.29,2014-05-14,
Kepler-33,41.02902,0.2535,0.,,,1.29,2014-05-14,
Kepler-1087,0.69384285,,,,354.,0.96,2016-05-10,
Kepler-1459,62.8691611,,,,435.,0.78,2016-05-10,
Kepler-1345,44.6169557,,,,1164.,1.32,2016-05-10,
Kepler-257,6.581484,0.066,,,,,2014-05-14,
Kepler-257,24.664551,0.16,,,,,2014-05-14,
Kepler-257,2.382667,0.034,,,,,2014-05-14,
Kepler-734,6.10485286,,,,553.,0.85,2016-05-10,
Kepler-127,29.393195,0.2,,,,,2014-05-14,
Kepler-127,48.630408,0.28,,,,,2014-05-14,
Kepler-127,14.435889,0.125,,,,,2014-05-14,
Kepler-39,21.08721,0.164,0.112,20.1,1200.,1.29,2015-01-29,
Kepler-1399,1.63865306,,,,1256.,0.97,2016-05-10,
Kepler-352,10.05537,0.085,,,,0.79,2014-05-14,
Kepler-352,16.332995,0.118,,,,0.79,2014-05-14,
Kepler-1315,0.84338011,,,,505.,0.8,2016-05-10,
Kepler-1156,11.89520511,,,,759.,1.,2016-05-10,
Kepler-294,6.6264,0.071,,,,,2014-05-14,
Kepler-294,3.701212,0.048,,,,,2014-05-14,
Kepler-1527,160.129918,,,,1560.,1.21,2016-05-10,
Kepler-108,49.183921,0.292,,,,0.87,2014-05-14,
Kepler-108,190.323494,0.721,,,,0.87,2014-05-14,
Kepler-465,9.94067247,,,,587.,1.23,2016-05-10,
2MASS J19383260+4603591,416.,0.92,,1.9,,0.48,2015-06-04,
Kepler-958,9.7678805,,,,467.,0.91,2016-05-10,
Kepler-1548,124.828679,,,,1150.,0.99,2016-05-10,
Kepler-256,1.620493,0.027,,,,1.02,2014-05-14,
Kepler-256,3.38802,0.045,,,,1.02,2014-05-14,
Kepler-256,5.839172,0.064,,,,1.02,2014-05-14,
Kepler-256,10.681572,0.096,,,,1.02,2014-05-14,
Kepler-1323,0.92990668,,,,530.,1.18,2016-05-10,
Kepler-346,23.851549,0.168,,,,0.97,2014-05-14,
Kepler-346,6.511127,0.071,,,,0.97,2014-05-14,
Kepler-216,17.406669,0.136,,,,,2014-05-14,
Kepler-216,7.693641,0.079,,,,,2014-05-14,
Kepler-987,105.3033148,,,,936.,0.97,2016-05-10,
Kepler-1085,219.3217528,,,,1518.,1.11,2016-05-10,
Kepler-461,8.31378306,,,,468.,0.98,2016-05-10,
Kepler-67,15.7259,0.1171,,,1107.,0.86,2014-05-14,
Kepler-735,11.51516988,,,,790.,0.85,2016-05-10,
Kepler-320,8.371554,0.085,,,,,2014-05-14,
Kepler-320,17.934937,0.142,,,,,2014-05-14,
Kepler-736,3.60147201,,,,1007.,0.86,2016-05-10,
Kepler-478,13.2217576,,,,420.,0.85,2016-05-10,
Kepler-999,5.99185702,,,,568.,1.29,2016-05-10,
Kepler-651,21.38521506,,,,537.,0.92,2016-05-10,
Kepler-861,3.94963138,,,,806.,0.82,2016-05-10,
Kepler-962,12.05707239,,,,439.,0.93,2016-05-10,
Kepler-613,15.77979614,,,,864.,0.98,2016-05-10,
Kepler-484,10.04556931,,,,377.,0.96,2016-05-10,
Kepler-1074,5.94566534,,,,245.,0.6,2016-05-10,
Kepler-860,5.10137945,,,,1295.,1.04,2016-05-10,
Kepler-218,3.619337,0.046,,,,,2014-05-14,
Kepler-218,124.5244647,,,,,,2016-05-10,
Kepler-218,44.699576,0.248,,,,,2014-05-14,
Kepler-562,18.00931444,,,,822.,0.93,2016-05-10,
Kepler-614,14.03491514,,,,571.,0.85,2016-05-10,
Kepler-105,7.1262,,,0.01447,,0.96,2016-04-07,
Kepler-105,5.4122,0.066,0.47,,,0.96,2014-05-14,
Kepler-217,8.586004,0.089,,,,,2014-05-14,
Kepler-217,3.88689525,,,,,,2016-05-10,
Kepler-217,5.374943,0.065,,,,,2014-05-14,
KOI-217,3.90512,0.0477,0.,,800.,0.95,2014-05-14,
Kepler-563,22.18432708,,,,557.,0.8,2016-05-10,
Kepler-856,8.02768059,,,,1175.,0.96,2016-05-10,
Kepler-864,5.83376092,,,,1573.,1.,2016-05-10,
Kepler-615,10.35584657,,,,330.,0.73,2016-05-10,
Kepler-422,7.8914483,0.082,,0.43,,1.15,2014-10-03,
Kepler-344,21.963945,0.153,,,,0.9,2014-05-14,
Kepler-344,125.596809,0.488,,,,0.9,2014-05-14,
KIC 9663113,20.74028413,,,,,0.98,2016-05-10,
KIC 9663113,572.3847,,,,,0.98,2016-01-05,
Kepler-1072,1.5690665,,,,976.,1.2,2016-05-10,
Kepler-1122,42.1917357,,,,924.,0.92,2016-05-10,
Kepler-1305,13.5630972,,,,1343.,0.97,2016-05-10,
Kepler-1020,96.9151496,,,,446.,0.87,2016-05-10,
Kepler-453,240.503,0.7903,0.0359,0.00063,,0.94,2015-07-09,
Kepler-423,2.6843285,0.03585,0.019,0.595,725.,0.85,2015-01-22,
Kepler-1068,16.92344113,,,,1532.,1.01,2016-05-10,
Kepler-984,43.0342272,,,,461.,0.96,2016-05-10,
Kepler-1392,15.1410397,,,,1117.,0.88,2016-05-10,
Kepler-979,8.0880135,,,,606.,0.87,2016-05-10,
Kepler-1617,27.4785572,,,,813.,1.15,2016-05-10,
Kepler-737,28.59915399,,,,195.,0.51,2016-05-10,
Kepler-378,28.906009,0.166,,,,0.96,2014-05-14,
Kepler-378,16.092361,0.112,,,,0.96,2014-05-14,
